title,nbre_entrees,id,distributeur,country,genre,date,budget,public,durée,Name1,Name2,year,month,week,season
Traque à Boston,37359,16065,Metropolitan,Etats-Unis,Drame,2017-08-03,45000000,Moins de 12 ans,130,9,22,2017,8,31,3
Nocturnal Animals,124137,16067,Universal,Etats-Unis,Drame,2017-04-01,22500000,Tous publics,115,4,12,2017,4,13,2
Quelques minutes après minuit,54497,16068,Metropolitan,Etats-Unis,Fantasy,2017-04-01,43000000,Tous publics,108,3,6,2017,4,13,2
La Fille du train,256506,16206,Metropolitan,Etats-Unis,Thriller,2016-10-26,45000000,Moins de 12 ans,105,6,4,2016,10,43,4
La Danseuse,91222,16231,Wild Bunch,France,Drame,2016-09-28,7888600,Tous publics,112,1,4,2016,9,39,3
Tu ne tueras point,216473,16282,Metropolitan,Etats-Unis,Guerre,2016-09-11,40000000,Moins de 12 ans,131,5,2,2016,9,36,3
Beauté cachée,112011,16284,Warner Bros.,Etats-Unis,Comédie dramatique,2016-12-21,36000000,Tous publics,94,5,4,2016,12,51,4
John Wick 2,201953,16328,Metropolitan,Etats-Unis,Aventure - Action,2017-02-22,40000000,Moins de 12 ans,122,9,8,2017,2,8,1
Tous en scène,805197,16379,Universal,Etats-Unis,Animation 3D,2017-01-25,75000000,Tous publics,110,2,5,2017,1,4,1
La Folle Histoire de Max et Léon,102223,16380,Studiocanal,France,Comédie,2016-01-11,11523484,Tous publics,98,1,4,2016,1,2,1
The Lost City of Z,150045,16386,Studiocanal,Etats-Unis,Aventure - Action,2017-03-15,30000000,Tous publics,141,5,2,2017,3,11,1
Joyeux bordel !,102897,16402,Metropolitan,Etats-Unis,Comédie,2016-12-21,45000000,Tous publics,105,6,8,2016,12,51,4
The Boyfriend - Pourquoi lui ?,72791,16404,20th Century Fox,Etats-Unis,Comédie,2017-01-25,38000000,Tous publics,111,1,8,2017,1,4,1
Fences,65336,16405,Paramount,Etats-Unis,Drame,2017-02-22,24000000,Tous publics,138,1,14,2017,2,8,1
Gold (2017),45363,16406,Studiocanal,Etats-Unis,Aventure - Action,2017-04-19,20000000,Tous publics,121,3,4,2017,4,16,2
La Belle et la Bête (2017),1281588,16412,Walt Disney Pictures,Etats-Unis,Fantasy,2017-03-22,160000000,Tous publics,129,7,3,2017,3,12,1
Seul dans Berlin,25870,16442,Pathé,Grande-Bretagne,Drame,2016-11-23,14750302,Tous publics,103,4,6,2016,11,47,4
Une vie (2016),47558,16443,Diaphana,France,Drame,2016-11-23,6900000,Tous publics,119,1,2,2016,11,47,4
Dalida,346642,16446,Pathé,France,Drame,2017-11-01,15743270,Tous publics,124,1,5,2017,11,44,4
La La Land,754534,16448,SND,Etats-Unis,Musical,2017-01-25,30000000,Tous publics,128,3,9,2017,1,4,1
